idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2529400E3918400,CRS3035RES1000mN2529000E3918000,CRS3035RES1000mN2529000E3918000,0,0,69382,1187,596,65,281,34,253,37,40745660.5,50971,594,2,590,6,0,0,0,0,65,14,41,75,117,319,193,130,158,75,0
CRS3035RES200mN2529400E3918600,CRS3035RES1000mN2529000E3918000,CRS3035RES1000mN2529000E3918000,0,0,69382,1041.5,575,86,325,25,179,34,32862969.2,41845,574,1,570,0,0,5,0,33,58,13,45,69,94.5,347,179,83,104,49,0
CRS3035RES200mN2529400E3918800,CRS3035RES1000mN2529000E3918000,CRS3035RES1000mN2529000E3918000,1,0,"69382,69387",29,12.5,0.8,5.5,1.6,6.3,0,1004378.9,1546.4,12.5,0,12.5,0,0,0,0,0,1.6,0.8,3.1,2.3,0.8,4.7,6.3,2.3,6.3,0.8,0
CRS3035RES200mN2529400E3919000,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529400E3919000,0,0,"69387,69382",62,34,6,18,2,12,4,2055231.2,2682,34,0,18,0,0,16,0,0,4,1,1,7,15,8,10,6,7,3,0
CRS3035RES200mN2529400E3919200,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529400E3919200,0,0,69387,981,620,139,407,16,166,16,27932181.2,37058,619,1,474,10,20,116,0,84,32.5,13.5,32,45,114,366,160,94,97,27,0
CRS3035RES200mN2529400E3919400,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529400E3919400,0,0,69387,1110,615,126,344,24,183,45,28871657.3,36480,614,1,361,33,8,213,0,134,57,29,66,68.5,86.5,408,212,69,94,20,0
CRS3035RES200mN2529400E3919600,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529400E3919600,0,0,69387,1365,767,176,450,31,183,62,33748907.2,46805,767,0,316,156,0,295,0,157,71,30,72,85.5,144.5,452,234,115,111,50,0
CRS3035RES200mN2529400E3919800,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529400E3919800,0,0,"69387,69383",951,538,50,283,14,274,22,32871589.9,40024,537,1,329,84,0,124,1,8,41,12.5,37,46.5,66,321,136,72,113,106,0
CRS3035RES200mN2529400E3920000,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,"69383,69387",1157,646,62,340,21,286,39,38773609.2,49021,646,0,208,22,224,192,0,29,60,17.5,44,55.5,87,376,171,102,153,91,0
CRS3035RES200mN2529400E3920200,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,69383,957,528,57,281,8,218,26,29854598.1,35001,527,1,203,50,78,197,0,23,52,15,34,53,82,352,149,71,102,47,0
CRS3035RES200mN2529400E3920400,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,69383,1550,775,92,369,44,240,70,45980311.5,52884,775,0,202,0,63,509,1,117,88,29.5,98.5,109,119,515,323,119,115,34,0
CRS3035RES200mN2529400E3920600,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,69383,1158,616,127,343,33,164,62,28076194.8,38465,615,1,49,134,63,370,0,157,52.5,36,75,78.5,120,364,211,94,90,36,1
CRS3035RES200mN2529400E3921200,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529400E3921200,0,0,69383,1096,517,148,245,38,90,65,22155421.6,30209,516,1,30,43,60,384,0,307,61.5,25,69,106.5,102,279,235,113,85,20,0
