Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2528000E3923000,0,CRS3035RES1000mN2528000E3923000,0,CRS3035RES1000mN2528000E3923000,595588,109.5,6,5,34,1,4649915,5870,4,34,35,2,1,0,0,0,3,2,6,8.5,15,8,15,29,15,8,0,3,38,69383
CRS3035RES200mN2528000E3923200,0,CRS3035RES1000mN2528000E3923000,0,CRS3035RES1000mN2528000E3923000,595592,159,5,11,47,2,6138375.4,6277,15,38,34,17,0,1,1,0,0,5,13,26,13,6,40,16,29,11,0,2,53,69383
CRS3035RES200mN2528000E3923400,0,CRS3035RES1000mN2528000E3923000,0,CRS3035RES1000mN2528000E3923000,595586,71,12,2,22,6,2086873,2674,21,12,31,1,0,1,0,1,3,2,1,11,4,15,14,17,2,2,0,3,33,"69029,69383"
CRS3035RES200mN2528200E3917800,0,CRS3035RES1000mN2528000E3917000,0,CRS3035RES1000mN2528000E3917000,595373,122.5,46,0,3,12,2078677.3,3768,77,0,77,0,0,0,0,65,0,1,4,9.5,4,12,25,15,33,19,0,17,77,69382
CRS3035RES200mN2528200E3918000,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528200E3918000,595412,102,30,2,0,7,1587079.7,2812,56,0,56,0,0,0,0,56,4,1,5,4,3,11,28,10,23,13,0,16,56,"69382,69387"
CRS3035RES200mN2528200E3919000,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595453,169.5,43,2,36,3,4573459.4,5917,89,0,0,0,0,89,0,20,16,3,5.5,7,10,96,21,6,5,0,0,3,89,69387
CRS3035RES200mN2528200E3919200,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595461,863,256,24,64,38,19309580.7,25778,470,0,139,0,25,306,0,103,67,20,43,40.5,90.5,366,133,48,49,6,0,76,470,69387
CRS3035RES200mN2528200E3919400,1,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595449,14,3.1,0.6,2.6,0,353007.5,357.4,4,2.3,6,0,0,0.3,0,0,1.4,0.6,0.3,0.3,2,4.6,1.7,0.8,1.7,0.3,0.3,1.4,6.3,69387
CRS3035RES200mN2528200E3919800,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595456,328.5,123,3,82,7,7041895.8,11546.9,200,1,87,113,0,1,0,1,18.5,5.5,13.5,6,24,139,40,27,35,20,0,34,201,69387
CRS3035RES200mN2528200E3920000,0,CRS3035RES1000mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,595509,971.5,267,16,247,38,22846789.9,33528,515,6,151,43,271,56,0,7,44,14,37.5,62,129,240,170,92,135,48,0,94,521,69387
